pos_m;laplacian;canny;entropy;corner_counter;sobel
0;313;124;0;1;15;381700
50;308;124;0;2;15;378965
100;308;124;0;1;15;378879
150;308;124;0;1;15;378852
200;308;124;0;1;15;378788
250;309;124;0;1;15;378732
300;310;124;0;0;15;378789
350;309;124;0;1;15;378385
400;307;124;0;49;15;377028
420;311;124;0;140;15;381222
430;305;126;0;184;15;380114
440;305;129;0;302;15;383393
450;307;313;0;350;15;389126
450;307;299;0;341;15;388624
460;311;448;0;405;15;395498
470;323;788;0;458;15;404247
480;344;947;0;485;15;413994
490;373;977;0;513;15;423582
500;391;982;0;518;15;428807
500;391;983;0;514;15;428999
510;385;994;0;514;15;428278
550;307;487;0;437;15;394772
600;299;125;0;154;15;373683
650;300;124;0;0;15;372557
700;302;124;0;1;15;373417
750;302;124;0;0;15;373330
800;302;124;0;1;15;373416
850;302;124;0;2;15;373406
900;302;124;0;1;15;373650
950;303;124;0;0;15;374088
1000;303;124;0;0;15;374126
1050;303;124;0;0;15;373964
