best_focus_by_pos;bestnbr_symbole_by_pos;best_angle_by_pos;best_box_by_pos;best_mean_X_by_pos;best_mean_Y_by_pos
0;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
50;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
100;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
150;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
200;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
250;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
300;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
350;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
400;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
450;63;72;"[[268 116]
 [393  76]
 [441 228]
 [316 267]]";354;171
450;41;77;"[[276 110]
 [403  82]
 [439 239]
 [312 267]]";357;173
460;152;75;"[[268  99]
 [399  65]
 [443 233]
 [312 267]]";355;165
470;171;75;"[[269 103]
 [401  68]
 [445 238]
 [314 272]]";357;169
480;158;77;"[[268  97]
 [407  69]
 [444 238]
 [305 267]]";355;167
490;167;75;"[[271 107]
 [403  73]
 [444 234]
 [312 268]]";356;170
500;164;89;"[[279  97]
 [444  94]
 [447 239]
 [281 241]]";362;167
500;159;86;"[[277  97]
 [436  88]
 [447 239]
 [287 247]]";361;167
510;147;77;"[[269 101]
 [407  72]
 [445 238]
 [306 266]]";356;168
520;154;74;"[[271 109]
 [402  73]
 [447 238]
 [315 273]]";358;173
530;158;77;"[[271 100]
 [410  71]
 [448 239]
 [308 267]]";358;169
540;126;75;"[[268  96]
 [400  60]
 [448 239]
 [315 274]]";357;167
550;92;74;"[[270 105]
 [402  69]
 [448 239]
 [315 274]]";358;171
600;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
650;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
700;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
750;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
800;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
850;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
900;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
950;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
1000;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
1050;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
