pos_m;laplacian;canny;entropy;corner_counter;sobel
0;48;36;0;1;8;480092
50;48;36;0;1;8;478506
100;48;36;0;1;8;478063
150;47;36;0;1;8;477262
200;47;36;0;1;8;476498
250;47;36;0;1;8;475920
300;47;36;0;1;8;475378
350;47;36;0;1;8;474680
400;47;36;0;2;8;474357
450;47;36;0;6;8;474218
500;47;36;0;30;8;474617
550;47;36;0;67;8;474931
600;46;36;0;116;8;476020
650;46;36;0;127;7;477115
700;46;36;0;147;7;478537
750;46;36;0;158;7;479706
800;45;36;0;199;7;481195
850;45;37;0;218;7;483613
900;44;38;0;426;7;488535
950;43;40;0;660;7;497771
1000;43;53;0;1202;7;514505
1050;44;239;0;1587;7;535872
1100;44;295;0;1813;7;561402
1150;45;330;0;1926;7;583100
1200;46;331;0;2025;7;600317
1250;47;331;0;2036;7;605660
1300;46;330;0;2032;7;598737
1350;45;328;0;2014;7;581964
1350;46;328;0;2015;7;599282
1360;46;327;0;2031;7;595804
1370;46;328;0;2031;7;594008
1380;46;328;0;2020;7;590825
1390;45;328;0;2014;7;587495
1400;43;314;0;1935;7;557346
1400;45;327;0;2020;7;582744
1410;44;327;0;2012;7;579025
1420;44;326;0;1995;7;573359
1430;44;324;0;1973;7;568990
1440;43;320;0;1940;7;561524
1450;42;264;0;1780;7;533889
1500;40;178;0;1511;7;510015
1550;40;54;0;1094;7;492170
1600;40;39;0;627;7;479031
1650;40;37;0;371;7;471785
1700;40;36;0;188;7;467449
1750;41;36;0;147;7;465528
1800;41;36;0;88;7;464186
1850;42;36;0;38;8;463536
1900;42;36;0;16;8;463579
1950;43;36;0;7;8;463719
2000;43;36;0;1;8;464308
2050;43;36;0;0;8;464819
2100;44;36;0;0;8;465353
2150;44;36;0;1;8;465594
2200;44;36;0;0;8;466208
2250;45;36;0;0;8;466362
2300;45;36;0;1;8;466659
2350;45;36;0;1;8;466663
2400;45;36;0;0;8;466695
2450;45;36;0;1;8;466637
2500;45;36;0;0;8;466608
2550;45;36;0;0;8;466469
2600;45;36;0;0;8;466367
2650;45;36;0;1;8;466276
2700;45;36;0;1;8;466318
2750;45;36;0;0;8;466596
2800;45;36;0;0;8;467187
2850;45;36;0;1;8;467317
2900;45;36;0;0;8;467604
2950;45;36;0;0;8;468016
3000;45;36;0;0;8;468403
3050;45;36;0;1;8;469002
3100;45;36;0;0;8;470707
3150;45;36;0;0;8;469690
3200;45;36;0;0;8;469945
3250;46;36;0;0;8;470673
3300;46;36;0;0;8;470631
3350;46;36;0;0;8;470627
3400;46;36;0;0;8;470956
3450;46;36;0;0;8;471160
3500;46;36;0;0;8;471184
3550;46;36;0;0;8;471305
3600;46;36;0;0;8;471199
3650;46;36;0;1;8;471378
3700;46;36;0;0;8;471444
3750;46;36;0;0;8;471515
3800;46;36;0;0;8;471538
3850;46;36;0;0;8;471655
3900;46;36;0;0;8;471044
3950;46;36;0;0;8;471242
4000;46;36;0;0;8;471372
4050;46;36;0;0;8;471467
4100;46;36;0;0;8;471540
