best_focus_by_pos;bestnbr_symbole_by_pos;best_angle_by_pos;best_box_by_pos;best_mean_X_by_pos;best_mean_Y_by_pos
0;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
50;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
100;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
150;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
200;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
250;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
300;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
350;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
400;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
450;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
500;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
550;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
600;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
650;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
700;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
750;19;88;"[[504 261]
 [727 253]
 [733 439]
 [510 446]]";618;349
800;30;78;"[[478 254]
 [740 198]
 [800 482]
 [539 537]]";639;367
850;27;87;"[[480 243]
 [763 229]
 [775 476]
 [493 489]]";627;359
900;60;88;"[[482 241]
 [765 231]
 [775 519]
 [492 528]]";628;379
950;328;88;"[[481 240]
 [766 230]
 [776 522]
 [491 532]]";628;381
950;342;88;"[[481 240]
 [767 230]
 [776 523]
 [491 532]]";628;381
960;351;88;"[[482 240]
 [767 231]
 [776 523]
 [491 533]]";628;381
970;350;87;"[[482 240]
 [767 231]
 [776 523]
 [491 533]]";628;381
980;364;88;"[[481 240]
 [767 231]
 [776 524]
 [490 533]]";628;381
990;363;88;"[[481 240]
 [767 231]
 [776 524]
 [490 533]]";628;381
1000;384;87;"[[477 241]
 [765 227]
 [779 519]
 [490 533]]";627;380
1000;365;88;"[[481 239]
 [767 230]
 [776 524]
 [490 533]]";628;381
1010;362;88;"[[481 239]
 [766 230]
 [776 523]
 [491 533]]";628;381
1020;374;88;"[[481 239]
 [767 230]
 [776 524]
 [490 533]]";628;381
1030;364;88;"[[481 240]
 [767 230]
 [776 523]
 [491 533]]";628;381
1040;373;88;"[[481 240]
 [767 230]
 [776 523]
 [491 533]]";628;381
1050;358;88;"[[481 239]
 [767 230]
 [776 523]
 [490 533]]";628;381
1100;320;88;"[[481 239]
 [767 229]
 [777 523]
 [491 533]]";629;381
1150;359;88;"[[480 239]
 [768 230]
 [777 524]
 [490 534]]";628;381
1200;340;88;"[[479 238]
 [767 228]
 [777 524]
 [489 533]]";628;380
1250;347;88;"[[479 238]
 [768 229]
 [778 524]
 [489 534]]";628;381
1300;336;88;"[[479 238]
 [768 229]
 [778 525]
 [489 535]]";628;381
1350;332;88;"[[478 238]
 [768 228]
 [778 526]
 [489 536]]";628;381
1400;365;88;"[[478 238]
 [768 228]
 [778 525]
 [488 535]]";628;381
1450;311;88;"[[478 238]
 [769 228]
 [778 526]
 [488 536]]";628;381
1500;72;88;"[[479 238]
 [769 229]
 [777 505]
 [487 514]]";628;371
1550;43;87;"[[499 238]
 [768 228]
 [778 521]
 [509 531]]";638;379
1600;42;83;"[[476 263]
 [760 229]
 [794 517]
 [510 550]]";635;389
1650;17;88;"[[520 235]
 [728 228]
 [737 503]
 [529 510]]";628;369
1700;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
1750;0;0;"[[0 0]
 [0 0]
 [0 0]
 [0 0]]";0;0
